term,description,category,subcategory,lang
"Күн нұры","Күннің сәулесі, шапағы. Жаңа бастамалар символы.","Спорт","Фитнес клубтары","kk"
"Дала самалы","Дала – кең байтақ жазық жер. Самал – жанға жайлы қоңыр салқын жел. Сергіту мен еркіндік.","Спорт","Фитнес клубтары","kk"
"Көктем тынысы","Көктем – қыстан кейін келетін жылдың төрт мезгілінің бірі. Тыныс – дем; үзіліс, дамыл, тыным. Жаңару мен сергектік.","Спорт","Фитнес клубтары","kk"
"Бұлақ көзі","Бұлақ – басы қайнардан басталып, сай-жыралармен ағатын кішігірім су. Ауыспалы мағынада көз -- бұлақ суының жарып шығатын тесігі. Энергияның бастауы.","Спорт","Фитнес клубтары","kk"
"Жасыл шың","Шың – таудың ұшар басы.Табиғи күшпен жетілу.","Спорт","Фитнес клубтары","kk"
"Сұлулық әлемі","Табиғи сұлулық пен үйлесім.","Спорт","Фитнес клубтары","kk"
"Құмсағат","Құмсағат – екі буылтық болып, шыны әйнекке салынған құмның үстінен астына құйылуы негізінде уақыт мөлшері есептелетін сағат.Уақыт пен төзімділік.","Спорт","Фитнес клубтары","kk"
"Орман тынысы","Табиғатпен үндесу.","Спорт","Фитнес клубтары","kk"
"Темірқазық","Горизонттың терістік жағына орналасқан, Кіші аю шоқ жұлдызындағы ең жарық жұлдыз.","Спорт","Фитнес клубтары","kk"
"Мәреге жету","Жеңіске ұмтылу.","Спорт","Фитнес клубтары","kk"
"Жалын жүрек","Жалын – 1. Жанған оттың лапылы; алау 2. Қуат пен жігердің белгісі. Жүрек – қан айналу жүйесінің көкірек қуысының сол жағына қарай орналасқан басты мүшесі.","Спорт","Фитнес клубтары","kk"
"Құрыш жүрек","Құрыш – болаттың берік түрі. Жүрек – қан айналу жүйесінің көкірек қуысының сол жағына қарай орналасқан басты мүшесі. Мықтылық пен төзімділік","Спорт","Фитнес клубтары","kk"
"Алмас қылыш","Алмас – ең қатты, әрі сапалы металл. Қылыш – шауып түсуге лайықтап болаттан жасалған, өткір жүзді, ұзындау имек қару. Мықтылық пен өткірлікті білдіреді.","Спорт","Фитнес клубтары","kk"
"Күш-байлық","Дене мен рухтың үйлесімі.","Спорт","Фитнес клубтары","kk"
"Тастүйін","Қайсарлық пен берік шешім.","Спорт","Фитнес клубтары","kk"
"Күш алаңы","Физикалық және рухани даму орны.","Спорт","Фитнес клубтары","kk"
"Жолбарыс рух","Табандылық пен жылдамдық.","Спорт","Фитнес клубтары","kk"
"Кемелдену","Мықты болу.","Спорт","Фитнес клубтары","kk"
"Намыс күші","Ішкі қайсарлық.","Спорт","Фитнес клубтары","kk"
"Төзім үйі","Төзімділікті арттыру мекені.","Спорт","Фитнес клубтары","kk"
"Самғау биігі","Асқақ армандарға жету.","Спорт","Фитнес клубтары","kk"
"Асыл мұрат","Жоғары мақсат.","Спорт","Фитнес клубтары","kk"
"Жетістік әлемі","Үлкен мүмкіндіктер ортасы.","Спорт","Фитнес клубтары","kk"
